timestamp,api_service,cost,query_info
2025-07-23T03:27:46+00:00,google_places_textsearch,0.032,brewery Toronto
2025-07-23T03:29:28+00:00,google_places_textsearch,0.032,brewery Toronto
2025-07-23T03:44:45+00:00,google_places_textsearch,0.032,brewery Toronto
2025-07-23T03:47:21+00:00,google_places_searchText,0.035,brewery in Toronto
2025-07-23T03:54:53+00:00,google_places_searchText,0.035,microbreweries in ontario
2025-07-23T03:59:04+00:00,google_places_searchText,0.035,microbreweries in ontario
2025-07-23T04:01:46+00:00,google_places_searchText,0.035,microbreweries in ontario
2025-07-23T04:01:48+00:00,pagespeed_insights,0.0,hophousewaterloo.com
2025-07-23T04:02:14+00:00,google_cse,0.005,'@hophousewaterloo.com' contact
2025-07-23T04:02:14+00:00,google_cse,0.005,'@hophousewaterloo.com' email
2025-07-23T04:02:15+00:00,google_cse,0.005,site:hophousewaterloo.com contact
2025-07-23T04:02:16+00:00,pagespeed_insights,0.0,othmansbarbershop.ca
2025-07-23T04:02:30+00:00,google_cse,0.005,'@othmansbarbershop.ca' contact
2025-07-23T04:02:31+00:00,google_cse,0.005,'@othmansbarbershop.ca' email
